"keys","pt","en"
"🏆 MISSÃO COMPLETA! Conquistaste o mundo!","🏆 MISSÃO COMPLETA! Conquistaste o mundo!","🏆 MISSION COMPLETE! You conquered the world!"
"PRESTIGE! Bem-vindo ao recomeço!","PRESTIGE! Bem-vindo ao recomeço!","PRESTIGE! Welcome to your fresh start!"
"Receber Recompensa!","Receber Recompensa!","Claim Reward!"
"Missão concluída! Recompensa recebida","Missão concluída! Recompensa recebida","Mission complete! Reward received"
"Recompensa a DOBRAR!","Recompensa a DOBRAR!","Reward DOUBLING!"
"Missão substituída!","Missão substituída!","Mission swapped!"
"Já recebeste a recompensa de hoje!","Já recebeste a recompensa de hoje!","You've already claimed today's reward!"
"Influência ganha-se ao expandir países.
Gasta-a em bónus válidos até ao próximo Prestige.","Influência ganha-se ao expandir países.
Gasta-a em bónus válidos até ao próximo Prestige.","Influence is earned by expanding countries.
Spend it on bonuses valid until your next Prestige."
"Sistema de Prestige","Sistema de Prestige","Prestige System"
"Reinicia com multiplicador permanente.
Requer 5.º país desbloqueado.","Reinicia com multiplicador permanente.
Requer 5.º país desbloqueado.","Resets with a permanent multiplier.
Requires the 5th country unlocked."
"Gemas de Prestígio:","Gemas de Prestígio:","Prestige Gems:"
"Conquista secreta.","Conquista secreta.","Secret achievement."
"Gemas — ganha com anúncios (acima)","Gemas — ganha com anúncios (acima)","Gems — earn via ads (above)"
"Recompensa Diária","Recompensa Diária","Daily Reward"
"Faz login todos os dias para ganhar gemas e bónus!","Faz login todos os dias para ganhar gemas e bónus!","Log in every day to earn gems and bonuses!"
"SEDE","SEDE","HQ"
"Música: Eric Matyas · soundimage.org","Música: Eric Matyas · soundimage.org","Music: Eric Matyas · soundimage.org"
"Apaga TODO o progresso: créditos, drones, países, prestige e conquistas.
Não pode ser desfeito.","Apaga TODO o progresso: créditos, drones, países, prestige e conquistas.
Não pode ser desfeito.","Deletes ALL progress: credits, drones, countries, prestige and achievements.
This cannot be undone."
"30min grátis","30min grátis","30min free"
"+60 Gemas","+60 Gemas","+60 Gems"
"+30min de lucros!","+30min de lucros!","+30min of profits!"
"+60 Gemas!","+60 Gemas!","+60 Gems!"
"Máx","Máx","Max"
"MÁX","MÁX","MAX"
"Idioma / Language","Idioma / Language","Idioma / Language"
"Nv %d · %s (%s)","Nv %d · %s (%s)","Lv %d · %s (%s)"
"Nv 0 · %s","Nv 0 · %s","Lv 0 · %s"
"Nv %d/%d · %s","Nv %d/%d · %s","Lv %d/%d · %s"
"%s — %d/%d cidades abertas.","%s — %d/%d cidades abertas.","%s — %d/%d cities open."
"Próxima: %s","Próxima: %s","Next: %s"
"Abre todas as cidades de %s primeiro.","Abre todas as cidades de %s primeiro.","Open all of %s's cities first."
"Seguinte: %s (+Influência)","Seguinte: %s (+Influência)","Next: %s (+Influence)"
"Tier: %s · Prestige #%d · ×%.2f
Reinicias mantendo gemas e conquistas.","Tier: %s · Prestige #%d · ×%.2f
Reinicias mantendo gemas e conquistas.","Tier: %s · Prestige #%d · ×%.2f
You reset keeping gems and achievements."
"Chega ao 5.º país para fazer prestige.
Tier: %s · Prestige %d · ×%.2f","Chega ao 5.º país para fazer prestige.
Tier: %s · Prestige %d · ×%.2f","Reach the 5th country to prestige.
Tier: %s · Prestige %d · ×%.2f"
"Bem-vindo a %s!","Bem-vindo a %s!","Welcome to %s!"
"Nova marca: %s/s!","Nova marca: %s/s!","New milestone: %s/s!"
"Streak: %d dias consecutivos!","Streak: %d dias consecutivos!","Streak: %d days in a row!"
"Vais ganhar  %d  Gemas Prestige
e um multiplicador ×%.2f permanente.

Perdes créditos, drones e upgrades.
Mantens gemas normais e conquistas.","Vais ganhar  %d  Gemas Prestige
e um multiplicador ×%.2f permanente.

Perdes créditos, drones e upgrades.
Mantens gemas normais e conquistas.","You'll earn  %d  Prestige Gems
and a permanent ×%.2f multiplier.

You lose credits, drones and upgrades.
You keep regular gems and achievements."
"Os drones entregaram durante %s:","Os drones entregaram durante %s:","Your drones delivered for %s:"
"Entregas: %s  ·  Ganhos: %s
Rendimento: %s/s  ·  Combo: %d
Drones: %d  ·  Países: %d/%d  ·  Streak: %dd
Prestige: %d  ·  Conquistas: %d/%d","Entregas: %s  ·  Ganhos: %s
Rendimento: %s/s  ·  Combo: %d
Drones: %d  ·  Países: %d/%d  ·  Streak: %dd
Prestige: %d  ·  Conquistas: %d/%d","Deliveries: %s  ·  Earned: %s
Income: %s/s  ·  Combo: %d
Drones: %d  ·  Countries: %d/%d  ·  Streak: %dd
Prestige: %d  ·  Achievements: %d/%d"
"Nova em %ds","Nova em %ds","New in %ds"
"Bronze","Bronze","Bronze"
"Prata","Prata","Silver"
"Ouro","Ouro","Gold"
"Platina","Platina","Platinum"
"Diamante","Diamante","Diamond"
"Lendário","Lendário","Legendary"
"Velocidade dos Drones","Velocidade dos Drones","Drone Speed"
"Capacidade de Carga","Capacidade de Carga","Cargo Capacity"
"Valor da Encomenda","Valor da Encomenda","Package Value"
"Rede de Rotas","Rede de Rotas","Route Network"
"Comando Central","Comando Central","Central Command"
"+6% lucros globais","+6% lucros globais","+6% global profits"
"Rotores Turbo","Rotores Turbo","Turbo Rotors"
"+4% velocidade","+4% velocidade","+4% speed"
"Rotas Premium","Rotas Premium","Premium Routes"
"+4% valor","+4% valor","+4% value"
"Hangar Eficiente","Hangar Eficiente","Efficient Hangar"
"-2% custo de drones","-2% custo de drones","-2% drone cost"
"Núcleo de Lucro","Núcleo de Lucro","Profit Core"
"+25% lucros GLOBAIS, para sempre.","+25% lucros GLOBAIS, para sempre.","+25% GLOBAL profits, forever."
"Injeção de Créditos","Injeção de Créditos","Credit Injection"
"Ganha já 1 hora de lucros.","Ganha já 1 hora de lucros.","Instantly earn 1 hour of profits."
"Salto Temporal 8h","Salto Temporal 8h","8h Time Warp"
"Ganha já 8 horas de lucros.","Ganha já 8 horas de lucros.","Instantly earn 8 hours of profits."
"Salto Temporal 24h","Salto Temporal 24h","24h Time Warp"
"Ganha já 24 horas de lucros.","Ganha já 24 horas de lucros.","Instantly earn 24 hours of profits."
"Esquadrão Instantâneo","Esquadrão Instantâneo","Instant Squadron"
"+10 drones imediatamente, sem custo em créditos.","+10 drones imediatamente, sem custo em créditos.","+10 drones instantly, no credit cost."
"Combo Duradouro","Combo Duradouro","Lasting Combo"
"O combo demora o DOBRO do tempo a expirar. Permanente.","O combo demora o DOBRO do tempo a expirar. Permanente.","Combo takes TWICE as long to expire. Permanent."
"Primeira Entrega","Primeira Entrega","First Delivery"
"Completa a primeira entrega.","Completa a primeira entrega.","Complete your first delivery."
"Cem Entregas","Cem Entregas","One Hundred Deliveries"
"Completa 100 entregas.","Completa 100 entregas.","Complete 100 deliveries."
"Mil Entregas","Mil Entregas","One Thousand Deliveries"
"Completa 1 000 entregas.","Completa 1 000 entregas.","Complete 1,000 deliveries."
"Dez Mil Entregas","Dez Mil Entregas","Ten Thousand Deliveries"
"Completa 10 000 entregas.","Completa 10 000 entregas.","Complete 10,000 deliveries."
"Pequena Frota","Pequena Frota","Small Fleet"
"Tem 5 drones activos.","Tem 5 drones activos.","Have 5 active drones."
"Frota Sólida","Frota Sólida","Solid Fleet"
"Tem 25 drones activos.","Tem 25 drones activos.","Have 25 active drones."
"Exército de Drones","Exército de Drones","Drone Army"
"Tem 100 drones activos.","Tem 100 drones activos.","Have 100 active drones."
"Força Aérea","Força Aérea","Air Force"
"Tem 500 drones activos.","Tem 500 drones activos.","Have 500 active drones."
"Atacado","Atacado","Wholesale"
"Compra 100 drones de uma vez.","Compra 100 drones de uma vez.","Buy 100 drones at once."
"Milionário","Milionário","Millionaire"
"Acumula 1 M de créditos.","Acumula 1 M de créditos.","Accumulate 1M credits."
"Bilionário","Bilionário","Billionaire"
"Acumula 1 B de créditos.","Acumula 1 B de créditos.","Accumulate 1B credits."
"Trilionário","Trilionário","Trillionaire"
"Acumula 1 T de créditos.","Acumula 1 T de créditos.","Accumulate 1T credits."
"Fluxo de Caixa","Fluxo de Caixa","Cash Flow"
"Ganha 10 B no total.","Ganha 10 B no total.","Earn 10B total."
"Magnata","Magnata","Tycoon"
"Ganha 1 T no total.","Ganha 1 T no total.","Earn 1T total."
"Rendimento Sólido","Rendimento Sólido","Solid Income"
"Atinge 1 000/s de receita.","Atinge 1 000/s de receita.","Reach 1,000/s income."
"Máquina de Dinheiro","Máquina de Dinheiro","Money Machine"
"Atinge 1 M/s de receita.","Atinge 1 M/s de receita.","Reach 1M/s income."
"Expansão Global","Expansão Global","Global Expansion"
"Expande para o 2.º país.","Expande para o 2.º país.","Expand to the 2nd country."
"Continente","Continente","Continent"
"Expande para 5 países.","Expande para 5 países.","Expand to 5 countries."
"Dominação Mundial","Dominação Mundial","World Domination"
"Expande para 10 países.","Expande para 10 países.","Expand to 10 countries."
"Urbanista","Urbanista","Urban Planner"
"Desbloqueia 10 cidades no total.","Desbloqueia 10 cidades no total.","Unlock 10 cities total."
"Megalópole","Megalópole","Megalopolis"
"Desbloqueia 50 cidades no total.","Desbloqueia 50 cidades no total.","Unlock 50 cities total."
"Engenheiro","Engenheiro","Engineer"
"Chega ao nível 25 num upgrade.","Chega ao nível 25 num upgrade.","Reach level 25 in an upgrade."
"Mestre Técnico","Mestre Técnico","Master Technician"
"Chega ao nível 100 num upgrade.","Chega ao nível 100 num upgrade.","Reach level 100 in an upgrade."
"Frota Optimizada","Frota Optimizada","Optimized Fleet"
"Todos os upgrades ao nível 25+.","Todos os upgrades ao nível 25+.","All upgrades at level 25+."
"Talentoso","Talentoso","Talented"
"Chega ao nível 10 num talento.","Chega ao nível 10 num talento.","Reach level 10 in a talent."
"Influente","Influente","Influential"
"Acumula 50 de influência total.","Acumula 50 de influência total.","Accumulate 50 total influence."
"Obsessivo","Obsessivo","Obsessive"
"Compra o Núcleo de Lucro 5 vezes.","Compra o Núcleo de Lucro 5 vezes.","Buy the Profit Core 5 times."
"Novo Começo","Novo Começo","New Beginning"
"Faz prestige pela primeira vez.","Faz prestige pela primeira vez.","Prestige for the first time."
"Veterano","Veterano","Veteran"
"Faz prestige 3 vezes.","Faz prestige 3 vezes.","Prestige 3 times."
"Piloto Lendário","Piloto Lendário","Legendary Pilot"
"Faz prestige 5 vezes.","Faz prestige 5 vezes.","Prestige 5 times."
"Semana de Trabalho","Semana de Trabalho","Work Week"
"Joga 7 dias consecutivos.","Joga 7 dias consecutivos.","Play 7 days in a row."
"Mês Dedicado","Mês Dedicado","Dedicated Month"
"Joga 30 dias consecutivos.","Joga 30 dias consecutivos.","Play 30 days in a row."
"Piloto Fiel","Piloto Fiel","Loyal Pilot"
"Joga 30 dias no total.","Joga 30 dias no total.","Play 30 days total."
"Hora de Ponta","Hora de Ponta","Rush Hour"
"Participa no primeiro evento.","Participa no primeiro evento.","Take part in your first event."
"Caçador de Eventos","Caçador de Eventos","Event Hunter"
"Participa em 5 eventos.","Participa em 5 eventos.","Take part in 5 events."
"Mestre dos Eventos","Mestre dos Eventos","Event Master"
"Participa em 25 eventos.","Participa em 25 eventos.","Take part in 25 events."
"Gestor Ausente","Gestor Ausente","Absent Manager"
"Recolhe mais de 1 M offline.","Recolhe mais de 1 M offline.","Collect over 1M offline."
"Dedicado","Dedicado","Dedicated"
"Joga 30 minutos numa sessão.","Joga 30 minutos numa sessão.","Play 30 minutes in one session."
"Coleccionador","Coleccionador","Collector"
"Tens 100 gemas em simultâneo.","Tens 100 gemas em simultâneo.","Have 100 gems at once."
"Investidor","Investidor","Investor"
"Gasta 500 gemas no total.","Gasta 500 gemas no total.","Spend 500 gems total."
"Turbo de Arranque","Turbo de Arranque","Head Start Turbo"
"Começa sempre com velocidade nível 5.","Começa sempre com velocidade nível 5.","Always start with speed level 5."
"Carga Extra","Carga Extra","Extra Cargo"
"Começa sempre com carga nível 5.","Começa sempre com carga nível 5.","Always start with cargo level 5."
"Começa sempre com valor nível 5.","Começa sempre com valor nível 5.","Always start with value level 5."
"Gestor Eficiente","Gestor Eficiente","Efficient Manager"
"+10% de eficiência offline permanente.","+10% de eficiência offline permanente.","+10% permanent offline efficiency."
"Operações Noturnas","Operações Noturnas","Night Operations"
"+20% de eficiência offline permanente.","+20% de eficiência offline permanente.","+20% permanent offline efficiency."
"Hangar Herdado","Hangar Herdado","Inherited Hangar"
"Começa sempre com 10 drones extra.","Começa sempre com 10 drones extra.","Always start with 10 extra drones."
"Hangar Militar","Hangar Militar","Military Hangar"
"Começa sempre com 25 drones extra.","Começa sempre com 25 drones extra.","Always start with 25 extra drones."
"Prévia VIP","Prévia VIP","VIP Preview"
"Activa VIP por 24 h após cada prestige.","Activa VIP por 24 h após cada prestige.","Activates VIP for 24h after each prestige."
"Voos Internacionais","Voos Internacionais","International Flights"
"Começa no 2.º país após prestige.","Começa no 2.º país após prestige.","Start in the 2nd country after prestige."
"Pacote Inicial","Pacote Inicial","Starter Pack"
"+300 Gemas, +5 drones e Lucros x2 por 1h. Arranque rápido!","+300 Gemas, +5 drones e Lucros x2 por 1h. Arranque rápido!","+300 Gems, +5 drones and 2x Profits for 1h. Quick start!"
"Passe VIP","Passe VIP","VIP Pass"
"Lucros x2 SEMPRE ativos, offline até 24h, +500 Gemas.","Lucros x2 SEMPRE ativos, offline até 24h, +500 Gemas.","2x Profits ALWAYS active, offline up to 24h, +500 Gems."
"Lucros x2 (para sempre)","Lucros x2 (para sempre)","2x Profits (forever)"
"Duplica todos os lucros, para sempre.","Duplica todos os lucros, para sempre.","Doubles all profits, forever."
"Bolso de Gemas","Bolso de Gemas","Pocket of Gems"
"+50 Gemas","+50 Gemas","+50 Gems"
"Punhado de Gemas","Punhado de Gemas","Handful of Gems"
"+120 Gemas","+120 Gemas","+120 Gems"
"Saco de Gemas","Saco de Gemas","Bag of Gems"
"+650 Gemas (bónus +30%)","+650 Gemas (bónus +30%)","+650 Gems (+30% bonus)"
"Cofre de Gemas","Cofre de Gemas","Vault of Gems"
"+1900 Gemas (óptimo valor)","+1900 Gemas (óptimo valor)","+1900 Gems (great value)"
"Tesouro de Gemas","Tesouro de Gemas","Treasure of Gems"
"+3800 Gemas (melhor valor)","+3800 Gemas (melhor valor)","+3800 Gems (best value)"
"Ganhos ×2 durante 5 min!","Ganhos ×2 durante 5 min!","Earnings ×2 for 5 min!"
"Encomenda Dourada","Encomenda Dourada","Golden Package"
"Próxima entrega ×10!","Próxima entrega ×10!","Next delivery ×10!"
"Tempestade","Tempestade","Storm"
"Velocidade ÷2, Ganhos ×3!","Velocidade ÷2, Ganhos ×3!","Speed ÷2, Earnings ×3!"
"Festival da Cidade","Festival da Cidade","City Festival"
"Ganhos ×2.5 por 8 min!","Ganhos ×2.5 por 8 min!","Earnings ×2.5 for 8 min!"
"Pacote VIP","Pacote VIP","VIP Package"
"Próxima entrega ×25!","Próxima entrega ×25!","Next delivery ×25!"
"Chuva de Lucros","Chuva de Lucros","Profit Rain"
"Ganhos ×8 durante 3 min! RARO!","Ganhos ×8 durante 3 min! RARO!","Earnings ×8 for 3 min! RARE!"
"Tech Drone","Tech Drone","Drone Tech"
"Velocidade ×1.5, Ganhos ×1.5!","Velocidade ×1.5, Ganhos ×1.5!","Speed ×1.5, Earnings ×1.5!"
"Black Friday","Black Friday","Black Friday"
"Ganhos ×6 por 5 min!","Ganhos ×6 por 5 min!","Earnings ×6 for 5 min!"
"Missão Blitz","Missão Blitz","Blitz Mission"
"Próxima entrega ×20!","Próxima entrega ×20!","Next delivery ×20!"
"+15 🌐 Influência","+15 🌐 Influência","+15 🌐 Influence"
"+25 Influência + 25 💎","+25 Influência + 25 💎","+25 Influence + 25 💎"
"Desafio Semanal: entrega %d pacotes","Desafio Semanal: entrega %d pacotes","Weekly Challenge: deliver %d packages"
"Entrega %d pacotes","Entrega %d pacotes","Deliver %d packages"
"Ganha %s créditos","Ganha %s créditos","Earn %s credits"
"Tem %d drones na frota","Tem %d drones na frota","Have %d drones in your fleet"
"Atinge combo de %d entregas","Atinge combo de %d entregas","Reach a %d-delivery combo"
"Ganha 1K créditos","Ganha 1K créditos","Earn 1K credits"
"Marco ×%d · próx. Nv %d","Marco ×%d · próx. Nv %d","Milestone ×%d · next Lv %d"
"Marco ×2 ao Nv %d","Marco ×2 ao Nv %d","Milestone ×2 at Lv %d"
"MARCO! %s ×2!","MARCO! %s ×2!","MILESTONE! %s ×2!"
"Drone Bónus!","Drone Bónus!","Bonus Drone!"
"Apanhaste um drone de carga dourado.
Escolhe a tua recompensa:","Apanhaste um drone de carga dourado.
Escolhe a tua recompensa:","You caught a golden cargo drone.
Choose your reward:"
"Receber: +3 min de lucros","Receber: +3 min de lucros","Claim: +3 min of profits"
"+3 min de lucros!","+3 min de lucros!","+3 min of profits!"
"Lucros ×2 durante 10 min","Lucros ×2 durante 10 min","Profits ×2 for 10 min"
"Lucros ×2 durante 10 min!","Lucros ×2 durante 10 min!","Profits ×2 for 10 min!"
"+20 min de lucros imediatos","+20 min de lucros imediatos","+20 min of instant profits"
"+20 min de lucros!","+20 min de lucros!","+20 min of profits!"
"+40 Gemas","+40 Gemas","+40 Gems"
"+40 Gemas!","+40 Gemas!","+40 Gems!"
"Hangar de Skins","Hangar de Skins","Skin Hangar"
"Skins permanentes para a tua frota. Cada skin extra dá +2% de lucros.","Skins permanentes para a tua frota. Cada skin extra dá +2% de lucros.","Permanent skins for your fleet. Each extra skin grants +2% profits."
"Frota Clássica","Frota Clássica","Classic Fleet"
"O visual original da frota.","O visual original da frota.","The fleet's original look."
"Frota Solar","Frota Solar","Solar Fleet"
"Dourado radiante com rasto âmbar.","Dourado radiante com rasto âmbar.","Radiant gold with an amber trail."
"Frota Néon","Frota Néon","Neon Fleet"
"Rosa elétrico com rasto magenta.","Rosa elétrico com rasto magenta.","Electric pink with a magenta trail."
"Frota Sombra","Frota Sombra","Shadow Fleet"
"Fuselagem escura com rasto vermelho.","Fuselagem escura com rasto vermelho.","Dark hull with a red trail."
"Frota Aurora","Frota Aurora","Aurora Fleet"
"Verde-ciano boreal. A elite do céu.","Verde-ciano boreal. A elite do céu.","Boreal cyan-green. The sky's elite."
"Skin ativa: %s","Skin ativa: %s","Active skin: %s"
"Nova skin: %s!","Nova skin: %s!","New skin: %s!"
"Ativa","Ativa","Active"
"Usar","Usar","Use"
"Oferta de Fundador","Oferta de Fundador","Founder Offer"
"Começar já!","Começar já!","Start now!"
"Termina em %d:%02d:%02d","Termina em %d:%02d:%02d","Ends in %d:%02d:%02d"
"A verificar compras na Google Play...","A verificar compras na Google Play...","Checking purchases on Google Play..."
"Disponível apenas na versão Android.","Disponível apenas na versão Android.","Only available on the Android version."
"Nv %d · %s · %s","Nv %d · %s · %s","Lv %d · %s · %s"
"Nv 0 · %s · %s","Nv 0 · %s · %s","Lv 0 · %s · %s"
"+20 Gemas","+20 Gemas","+20 Gems"
"+20 Gemas!","+20 Gemas!","+20 Gems!"
"Prestige","Prestige","Prestige"
"+3%/nv velocidade","+3%/nv velocidade","+3%/lv speed"
"+0.25/nv carga","+0.25/nv carga","+0.25/lv cargo"
"+4%/nv valor","+4%/nv valor","+4%/lv value"
"+2.5%/nv eficiência de rota","+2.5%/nv eficiência de rota","+2.5%/lv route efficiency"
"+%.0f%% total","+%.0f%% total","+%.0f%% total"
"+%.0f%% lucros","+%.0f%% lucros","+%.0f%% profits"
"+%.0f%% velocidade","+%.0f%% velocidade","+%.0f%% speed"
"+%.0f%% valor","+%.0f%% valor","+%.0f%% value"
"-%.0f%% custo drones","-%.0f%% custo drones","-%.0f%% drone cost"
"+150 💎 + 1 ⬡ Prestige","+150 💎 + 1 ⬡ Prestige","+150 💎 + 1 ⬡ Prestige"
"Gestor Automático","Gestor Automático","Auto Manager"
"Gestor de Frota Automático","Gestor de Frota Automático","Automatic Fleet Manager"
"Compra sozinho a opção mais barata a cada poucos segundos. Exclusivo VIP.","Compra sozinho a opção mais barata a cada poucos segundos. Exclusivo VIP.","Automatically buys the cheapest option every few seconds. VIP exclusive."
"VIP","VIP","VIP"
"pronto em %s","pronto em %s","ready in %s"
"Núcleo Ascendente","Núcleo Ascendente","Ascendant Core"
"Nv %d · +%d%% permanente · repetível","Nv %d · +%d%% permanente · repetível","Lv %d · +%d%% permanent · repeatable"
"Bem-vindo, Piloto!","Bem-vindo, Piloto!","Welcome, Pilot!"
"A tua frota de entregas está pronta a descolar.","A tua frota de entregas está pronta a descolar.","Your delivery fleet is ready for takeoff."
"Compra drones e melhorias","Compra drones e melhorias","Buy drones and upgrades"
"Cada entrega gera créditos automaticamente.","Cada entrega gera créditos automaticamente.","Every delivery generates credits automatically."
"Expande pelo mundo","Expande pelo mundo","Expand across the world"
"Abre cidades e países para multiplicar os lucros.","Abre cidades e países para multiplicar os lucros.","Open cities and countries to multiply your profits."
"Gemas só de anúncios e ofertas","Gemas só de anúncios e ofertas","Gems only from ads and offers"
"Vê anúncios ou compra-as — nunca se ganham a jogar.","Vê anúncios ou compra-as — nunca se ganham a jogar.","Watch ads or buy them — never earned by playing."
"Faz Prestige para bónus permanentes","Faz Prestige para bónus permanentes","Prestige for permanent bonuses"
"Reinicia com multiplicadores que ficam para sempre.","Reinicia com multiplicadores que ficam para sempre.","Reset with multipliers that last forever."
"Vamos a voar!","Vamos a voar!","Let's fly!"
